method,macro_mean,macro_std,micro_mean,micro_std,exact_mean,exact_std,n
C1,0.0,0.0,0.0,0.0,0.0,0.0,5
F1,0.0167,0.0228,0.0322,0.0477,0.0205,0.0322,5
F2,0.0167,0.0228,0.0322,0.0477,0.0205,0.0322,5
F3,0.0,0.0,0.0,0.0,0.0,0.0,5
