method,macro_mean,macro_std,micro_mean,micro_std,exact_mean,exact_std,n
C1,0.1343,0.0264,0.4077,0.0988,0.1245,0.0037,10
F1,0.1317,0.0403,0.3498,0.1389,0.1145,0.0256,10
F2,0.1317,0.0403,0.3498,0.1389,0.1145,0.0256,10
F3,0.0,0.0,0.0,0.0,0.1055,0.0,10
